tank,horizon,horizon_label,n_observations,mean_actual_kl_h,chronos2_mae,npts_mae,seasonal_naive_mae,chronos2_rmse,npts_rmse,seasonal_naive_rmse,chronos2_mase,npts_mase,seasonal_naive_mase,chronos2_rmsse,npts_rmsse,seasonal_naive_rmsse,chronos2_vs_npts_pct,chronos2_vs_npts_pct_mae,chronos2_vs_naive_pct,winner,beats_seasonal_naive_reference,sensor_trust_tier,missing_pct,zero_pct,rel_resid,panel_mean_kl_h
BE_BLOCK_RO,12,12h,286,0.010944055944055946,0.006780352307470528,0.010174825174825175,0.01,0.012185700193274767,0.017827848098751792,0.019665026994979865,0.5141940336166526,0.7718039538445637,0.7579000851093326,0.19594066938170523,0.2869068961566877,0.31524369702896776,33.37763676185987,33.36148591283261,32.15543265937536,Chronos-2,True,dead,10.44,73.53,0.2841,0.0083
CRICKET_GROUND_OHT,12,12h,286,0.010769230769230769,0.011109512198091179,0.010874125874125874,0.021643356643356645,0.04399076554324338,0.04423000911478209,0.06468049500093853,0.196881789281472,0.1926972359546834,0.38249936148678293,0.34263335907141007,0.3445082205504567,0.5032290988656724,-2.1715689413275676,-2.1646459374301346,48.52755086539533,NPTS,True,degraded,20.7,39.98,0.1437,0.0423
F_BLOCK,12,12h,286,0.6956993006993007,0.3350834216062839,0.4111888111888113,0.5467132867132867,0.6773858835051672,0.7230370097598859,0.9636128114287659,0.5749990727907612,0.7056592940136608,0.9382861301003251,0.5621438374345384,0.5999204657525181,0.7997618256430911,18.516049080814643,18.508623656975193,38.7181527740072,Chronos-2,True,healthy,0.2,5.87,0.0883,0.6979
GJBC_BLOCK_1_A1_BOYS,12,12h,286,0.1651048951048951,0.07235052786819583,0.07636363636363637,0.10279720279720281,0.11384858184691453,0.11687061760229242,0.15821778387042063,0.5446403615183683,0.5749409683919154,0.7740408763703472,0.5313901953289752,0.5454818680820356,0.738564561970369,5.270211819884161,5.255261124981655,29.63674424116849,Chronos-2,True,degraded,1.91,14.61,0.112,0.1723
GJBC_BLOCK_1_A2_GIRLS,12,12h,286,0.1715034965034965,0.06876331671342983,0.07363636363636364,0.10335664335664337,0.1249360493964325,0.127493315332787,0.1756685531318584,0.5052404452057626,0.5411250942506866,0.7596553246093347,0.584929957553933,0.5967652323037209,0.8219796301368071,6.631488619949252,6.617718043490352,33.49083079677078,Chronos-2,True,healthy,0.78,14.31,0.0781,0.1758
GJBC_BLOCK_1_A3,12,12h,286,0.19671328671328672,0.0970736931993828,0.1008041958041958,0.1380769230769231,0.15311369528613938,0.15433026977178574,0.2120405357736789,0.5760814525335162,0.5983591242576561,0.8196025929441104,0.5584607245264235,0.5629290803777404,0.7733912401078437,3.723127269393339,3.7007413977680144,29.71209980386192,Chronos-2,True,healthy,0.62,14.45,0.0657,0.2201
GJBC_BLOCK_1_A4_RO,12,12h,286,0.004825174825174826,0.004864709176207808,0.004825174825174826,0.006888111888111888,0.02619235605760177,0.02621855425862737,0.03620551285148659,0.08161929550205525,0.08095205906802842,0.11559866027331282,0.1320382017585019,0.13217142500154896,0.18258169700584218,-0.8242365193776169,-0.819335101118325,29.39425482174214,NPTS,True,degraded,0.38,51.5,0.1179,0.0611
GJBC_BLOCK_2_A1,12,12h,286,0.40248251748251745,0.11236294047607408,0.1555944055944056,0.20762237762237762,0.20607251988708486,0.2834218975802188,0.3659559758000629,0.5395689192902017,0.7472606656641736,0.9971160477600467,0.5829752190644121,0.801979062111351,1.0353574658805824,27.793748007513976,27.784716907511942,45.88704890445736,Chronos-2,True,healthy,0.53,10.08,0.0883,0.3573
GJBC_LAW_BLOCK_3_A4_BOYS,12,12h,286,1.1934965034965035,0.5691319751239323,0.5998601398601399,0.8593006993006993,0.9435408460312604,1.0204376546330536,1.403414916043515,0.6874147142301736,0.7246053720628556,1.0377550863380118,0.5892749901205926,0.6373211077665872,0.8766657489818774,5.132539623161371,5.122554858099416,33.75944639732918,Chronos-2,True,healthy,0.45,5.42,0.0677,1.2215
GJBC_LAW_BLOCK_3__A1,12,12h,283,0.6009540636042403,0.347822167140435,0.3809187279151943,0.47561837455830386,1.333467960088001,1.3569540823570418,1.5630248376495943,1.416512535715612,1.5500899457300663,1.9365247965655574,1.2176654386027617,1.2391460553616076,1.4278103958088997,8.617397356999275,8.688614748846833,26.852858366295713,Chronos-2,False,healthy,0.49,13.84,0.07,0.3325
GJBC_LAW_BLOCK_3__A2,12,12h,286,0.42363636363636364,0.16572334799733196,0.23804195804195805,0.22979020979020978,0.33428392703561083,0.5133272787461183,0.4602781159863502,0.3888968258330099,0.5588031343522782,0.5392223158606683,0.18316963462008115,0.2812635528159288,0.25232436851943485,30.405396475846672,30.380614677971593,27.878202664464943,Chronos-2,True,healthy,2.82,12.46,0.0774,0.5662
GJBC_LAW_BLOCK_3__A3_GIRLS,12,12h,286,0.3105594405594405,0.14563449459476072,0.19255244755244758,0.18465034965034965,0.19793310223741944,0.2766274159817267,0.2508454236645081,0.5715003031597576,0.7557348132669062,0.724438067258588,0.43796939521617084,0.6121223196599712,0.554824191303074,24.378195482451808,24.366323853093228,21.111226895844393,Chronos-2,True,healthy,0.71,7.68,0.0691,0.4178
G_BLOCK,12,12h,286,0.9605244755244755,0.3858287753425278,0.37741258741258743,0.59506993006993,0.6893137005396088,0.6717933415167895,1.001732939020616,0.7643204814919912,0.747701582871246,1.178854711934316,0.6027609088864219,0.5873730380916046,0.8757365333852394,-2.2226646300422424,-2.2299701204029505,35.16414925823549,NPTS,True,healthy,0.47,6.04,0.0853,1.0397
I&H_BLOCK,12,12h,286,0.3064685314685314,0.30614885561116095,0.3063636363636364,0.5293356643356643,1.306856707745554,1.3231021505157117,1.7957341642935876,0.8094387309118242,0.8099724102376158,1.4002985621683424,1.2301425294722157,1.245221603932024,1.693179240180387,0.06588858077709873,0.07010647706913498,42.19527515200617,Chronos-2,True,degraded,0.36,51.62,0.1146,0.2788
INFORMATION_CENTRE,12,12h,286,0.01646853146853147,0.016784579424851842,0.01646853146853147,0.029125874125874127,0.06735401114174802,0.06744850405532134,0.09228452506478843,1.915832691649927,1.8793883068744293,3.3664014943105687,1.1204244439251236,1.1219978217280722,1.5437265890960916,-1.9391620476828288,-1.9191022400770021,43.08959597101518,NPTS,False,dead,4.02,91.87,0.1863,0.0052
IT_BLOCK,12,12h,286,0.08947552447552448,0.05801692175099274,0.061398601398601406,0.09031468531468531,0.10792629272208848,0.12214573434868865,0.16261735944973893,0.9902222700553588,1.0486011797316868,1.5409405335810602,0.6666182425608412,0.7544355247827399,1.0038228918518586,5.567312988458187,5.507747034260128,35.73909904529948,Chronos-2,True,degraded,0.45,39.96,0.1157,0.0567
ME_WORKSHOP_BLOCK,12,12h,286,0.035419580419580425,0.025455316973107676,0.02653846153846154,0.03625874125874126,0.04455324083114829,0.048063914323948485,0.0625870023817475,0.15372206816206568,0.16036303606567648,0.21906157297457143,0.060025514668317105,0.06483984529364295,0.0843594211406574,4.141208639184778,4.081414304231944,29.827004309920817,Chronos-2,True,degraded,19.88,18.4,0.1447,0.1211
MM_BLOCK,12,12h,286,1.1268881118881118,0.23691598611278136,0.24045454545454545,0.3281818181818182,0.3724378500452607,0.4054432953376658,0.5106796513409422,0.5356143381970425,0.5436284835724752,0.7418098217691499,0.47923269209048425,0.5217481910193554,0.6571776116702939,1.4741952670999499,1.4716125806958391,27.7962730501936,Chronos-2,True,healthy,0.63,3.9,0.0577,1.1283
MRD_BLOCK,12,12h,286,1.3086013986013987,0.6937746483629401,0.8576573426573427,1.0793356643356646,1.2827811632763075,1.3935308829295179,1.7076101772601724,0.5764402199315019,0.7126036515528431,0.8966575564967546,0.44703868470517716,0.48565241564972494,0.5954628421058374,19.107877334704348,19.10817830657554,35.71233345942496,Chronos-2,True,healthy,1.45,13.63,0.086,1.3927
