model,item_id,horizon,n_windows,mean_actual_kl_per_window,mae_kl_per_window,err_pct_of_window,bias_kl_per_window,bias_pct
Chronos2-COV-XL,GJBC_BLOCK_1_A2_GIRLS,24,24,3.87125,0.8380619125564893,21.648354215214447,-0.5037217160314321,-13.011862215858757
Chronos2-COV-XL,GJBC_BLOCK_1_A1_BOYS,24,24,3.7254166666666664,0.7787998623152573,20.905040482682224,-0.32020687761406114,-8.595196356937107
Chronos2-COV-XL,IT_BLOCK,24,24,2.2191666666666667,0.8172398029485096,36.82642747045481,-0.699132540272549,-31.50428270097855
Chronos2-COV-XL,ME_WORKSHOP_BLOCK,24,24,0.8795833333333333,0.32568571225429577,37.02727188111369,-0.32212549869591994,-36.622510510194594
Chronos2-COV-XL,INFORMATION_CENTRE,24,24,0.40666666666666673,0.3957597274666962,97.31796577049906,-0.39297936165006836,-96.63426925821352
Chronos2-COV-XL,BE_BLOCK_RO,24,24,0.26999999999999996,0.11010386096003155,40.77920776297466,-0.076746496198078,-28.42462822151037
Chronos2-COV-XL,CRICKET_GROUND_OHT,24,24,0.19791666666666666,0.18033382244252913,91.11603660254103,-0.1788985412179803,-90.39084187855846
Chronos2-COV-XL,GJBC_BLOCK_1_A4_RO,24,24,0.09416666666666666,0.09214254703411523,97.8504924256091,-0.09214254703411523,-97.8504924256091
Chronos2-COV-XL,NEW_BLOCK_RO,24,24,0.009166666666666667,0.009040810392082979,98.62702245908704,-0.007880324799722681,-85.96717963333835
Chronos2-ZS,BE_BLOCK_OHT,24,24,45.59291666666667,7.792494792242845,17.091459292272035,-6.04874363710483,-13.266849500609188
Chronos2-ZS,MRD_BLOCK,24,24,32.63583333333333,10.2426977455616,31.38482060790522,-5.660687074462572,-17.3450054626946
Chronos2-ZS,GJBC_LAW_BLOCK_3_A4_BOYS,24,24,30.096666666666668,6.663407766123612,22.14001915867852,-4.064117660423119,-13.503547437445297
Chronos2-ZS,MM_BLOCK,24,24,26.8925,1.2671837222576146,4.712033921195927,0.4602742872635526,1.7115340234770013
Chronos2-ZS,G_BLOCK,24,24,24.24083333333333,4.255127483208974,17.55355282014084,1.6239295440912247,6.699149001029495
