item_id,horizon,winner,beats_seasonal_naive,mean_actual_kl_h,mae_chronos2,mae_npts,rmse_chronos2,rmse_npts,mase_chronos2,mase_npts,rmsse_chronos2,rmsse_npts,pct_impr_mae,pct_impr_rmse,pct_impr_mase,pct_impr_rmsse
MRD_BLOCK,168,Chronos-2,True,1.4343468524508582,0.8408850719549669,0.866752923612839,1.3871654847733232,1.3943819848526129,0.6985250823513611,0.7200289241076581,0.4827838703212402,0.485305266910427,2.9844550797761986,0.5175411155396155,2.986524712593588,0.5195485730535446
GJBC_LAW_BLOCK_3__A3_GIRLS,168,Chronos-2,True,0.323018163722319,0.16917744140448218,0.18552625031102266,0.23496402239212227,0.26663724748561135,0.6630468052567543,0.7271410200799071,0.518379759236486,0.5886808208707137,8.812127059719453,11.878769898867288,8.814550830334033,11.942135558322736
GJBC_BLOCK_1_A1_BOYS,168,Chronos-2,True,0.15860413038069174,0.08271442577765634,0.08277432197063948,0.12040090626211884,0.121486705678568,0.6222481802228614,0.622764609560468,0.5609032648532891,0.5659996539815446,0.07236083794729553,0.8937598648217374,0.08292528664578772,0.9004226579300476
F_BLOCK,168,Chronos-2,True,0.712963423737248,0.3627728198487594,0.41773575516297584,0.7697005348959145,0.782167098192515,0.6221670245170426,0.7164139216041499,0.6384195714740697,0.6486742355981647,13.157345196073324,1.5938491053138182,13.15536929769251,1.5808650261311612
GJBC_BLOCK_1_A3,168,Chronos-2,True,0.18890768847972134,0.10469019337513459,0.10706145807414781,0.1533955125210871,0.15553197923999434,0.6207790904819117,0.6348996832962238,0.558380896752865,0.5661881787944114,2.214863071798394,1.3736510840709857,2.2240667598071377,1.3789200011506
GJBC_BLOCK_2_A1,168,Chronos-2,True,0.3998504859207575,0.12083206136907511,0.15885621729379518,0.21663618995159478,0.2872220592819274,0.5798502984753999,0.7623258546739872,0.612591917391339,0.8121361927373953,23.93620883871145,24.57536496563028,23.93668732075523,24.570297091854776
GJBC_BLOCK_1_A2_GIRLS,168,Chronos-2,True,0.16429957700920625,0.07881946833328277,0.0788156257775566,0.12344035333275659,0.12361177377006101,0.5786985937802012,0.5787206979001722,0.5764900390949508,0.5773027337955937,-0.0048753729837892525,0.1386764642851025,0.0038194797682644457,0.14077444173868872
BE_BLOCK_RO,168,Chronos-2,True,0.01094302065190346,0.007562393314736004,0.010079621796466784,0.013156914602631862,0.018170216163045337,0.5724516930577882,0.7631324467778756,0.21088697811856819,0.29149090399599337,24.973441787400645,27.590764553531013,24.986587128510436,27.652295413833258
MM_BLOCK,168,Chronos-2,True,1.1247001741726799,0.24666358234752436,0.25028614083105255,0.3780868509933131,0.40458635903954526,0.5575577492752173,0.56569999701944,0.48636086317278127,0.5204351621994796,1.4473667904662275,6.549777928534181,1.439322571525994,6.5472707268072465
NEW_BLOCK,168,Chronos-2,True,0.17475491415775066,0.036239670691916706,0.038442398606618564,0.0660592095196722,0.06890390552115805,0.524235979657118,0.5560203391103824,0.49608959003671915,0.5173488473399744,5.729944005946126,4.128497477711677,5.716402299980344,4.109269289486755
TECH_PARK,168,Chronos-2,True,0.39104005971634737,0.1784703980838223,0.2235108235879572,0.3438477102373833,0.38504395266508373,0.5204692135790714,0.6518536325339314,0.3438811462854166,0.3851922797026777,20.15133977903774,10.699101269494149,20.155509212111497,10.724808256579898
GJBC_LAW_BLOCK_3__A2,168,Chronos-2,True,0.41123413784523516,0.19047376694356544,0.25143816869868124,0.38523773766393893,0.5280032525328278,0.44568439437204843,0.5883593498957107,0.2099629850882585,0.2879184594641886,24.246279739721775,27.03875670917626,24.249628317957733,27.075538859510402
NEW_BLOCK_RO,168,NPTS,True,0.0003732271709380443,0.0004302059239936141,0.0003732271709380443,0.0019100806275272665,0.0019319088253280596,0.21423082075179364,0.18587092208946857,0.057730081594719575,0.058390782688840515,-15.26650723535568,1.1298772237393984,-15.25784579078706,1.1315160778744129
CRICKET_GROUND_OHT,168,NPTS,True,0.008621547648668822,0.008965363681666753,0.00869121672057726,0.03198390728405941,0.03214292230943998,0.15949164157064669,0.15460266758236255,0.24941023178937802,0.2506594501241847,-3.1542989883157047,0.4947124093127972,-3.1622830735954817,0.4983727260982196
ME_WORKSHOP_BLOCK,168,Chronos-2,True,0.03508584224931575,0.025346416937908917,0.026061209256033842,0.04425069722941261,0.04672930309882138,0.15294908682972036,0.15728163579943033,0.05974754280961567,0.0631099459824184,2.742744249135069,5.304178973452923,2.7546438894080114,5.3278498665479
