model,day,actual_kl,pred_raw_kl,pred_kl,lower_kl,upper_kl,n_scored,n_expected,coverage_pct,error_kl,abs_error_kl,error_raw_kl,inside_band,d_lo,d_hi,band_lo,band_hi,inside_daily_band
Chronos2-ZS,2026-04-03,313.99,284.79014573432505,316.79100740893597,119.3469680700785,629.9284475808089,576,576,100.0,2.801007408935959,2.801007408935959,-29.199854265674958,True,-21.914552807581387,38.817982005248055,294.87645460135457,355.608989414184,True
Chronos2-ZS,2026-04-04,235.79,239.64558133884566,259.2582500372578,87.29953084177605,496.6424236451178,576,576,100.0,23.46825003725783,23.46825003725783,3.855581338845667,True,-21.914552807581387,38.817982005248055,237.34369722967642,298.07623204250586,False
Chronos2-ZS,2026-04-05,162.47,169.98916176590137,182.52656503759053,58.817135929153054,385.3366327412515,576,576,100.0,20.05656503759053,20.05656503759053,7.519161765901373,True,-21.914552807581387,38.817982005248055,160.61201223000916,221.3445470428386,True
Chronos2-ZS,2026-04-06,254.05,248.8427887778962,273.035916775337,103.57556544093595,482.00374509092023,573,576,99.47916666666667,18.98591677533699,18.98591677533699,-5.207211222103808,True,-21.914552807581387,38.817982005248055,251.1213639677556,311.85389878058504,True
Chronos2-ZS,2026-04-07,249.98,260.692205040541,287.0654393619804,114.34481582135241,497.8487288198044,576,576,100.0,37.085439361980406,37.085439361980406,10.712205040541022,True,-21.914552807581387,38.817982005248055,265.150886554399,325.88342136722844,False
Chronos2-ZS,2026-04-08,288.18,257.1706275190227,282.95001127287816,104.67948930661296,497.48036912400244,576,576,100.0,-5.2299887271218495,5.2299887271218495,-31.009372480977333,True,-21.914552807581387,38.817982005248055,261.03545846529676,321.7679932781262,True
Chronos2-ZS,2026-04-09,267.08,257.4834792672773,283.56051558837765,105.78601779501486,524.6551477034218,576,576,100.0,16.48051558837767,16.48051558837767,-9.596520732722695,True,-21.914552807581387,38.817982005248055,261.64596278079625,322.3784975936257,True
Chronos2-ZS,2026-04-10,284.74,249.10162943816977,274.93695211614823,94.33812518477929,525.6085680532668,576,576,100.0,-9.803047883851775,9.803047883851775,-35.63837056183024,True,-21.914552807581387,38.817982005248055,253.02239930856683,313.7549341213963,True
Chronos2-ZS,2026-04-11,268.56,225.28056793351425,245.45087998405236,86.65035801288681,436.1484577324235,576,576,100.0,-23.10912001594764,23.10912001594764,-43.279432066485754,True,-21.914552807581387,38.817982005248055,223.536327176471,284.26886198930043,True
Chronos2-ZS,2026-04-12,233.13,179.03055635478813,193.20899064593286,73.93079189475635,362.6507221606346,576,576,100.0,-39.92100935406714,39.92100935406714,-54.09944364521186,True,-21.914552807581387,38.817982005248055,171.29443783835148,232.02697265118093,False
Chronos2-ZS,2026-04-13,304.24,265.6973287658184,292.4567550775765,114.41681449397903,517.4679629332852,576,576,100.0,-11.783244922423535,11.783244922423535,-38.542671234181626,True,-21.914552807581387,38.817982005248055,270.5422022699951,331.2747370828245,True
Chronos2-ZS,2026-04-14,215.84,264.25207094533835,292.33312720411044,118.32919419135712,537.3456435700907,576,576,100.0,76.49312720411044,76.49312720411044,48.41207094533834,True,-21.914552807581387,38.817982005248055,270.41857439652904,331.1511092093585,False
Chronos2-ZS,2026-04-15,305.09,245.87655314360745,268.80147682249543,95.11495218123024,497.80990952223783,576,576,100.0,-36.288523177504544,36.288523177504544,-59.21344685639252,True,-21.914552807581387,38.817982005248055,246.88692401491403,307.6194588277435,True
Chronos2-ZS,2026-04-16,320.82,276.7485167371924,302.13125450985274,115.66340038155226,510.0988828667167,573,576,99.47916666666667,-18.688745490147255,18.688745490147255,-44.07148326280759,True,-21.914552807581387,38.817982005248055,280.21670170227134,340.9492365151008,True
Chronos2-ZS,2026-04-17,275.66,288.67473356681876,315.93826339187774,131.9180192058261,535.885632720939,575,576,99.82638888888889,40.278263391877715,40.278263391877715,13.014733566818734,True,-21.914552807581387,38.817982005248055,294.02371058429634,354.7562453971258,False
Chronos2-ZS,2026-04-18,273.73,233.95430607220624,253.09138896390044,79.75165178602101,454.35696145149774,576,576,100.0,-20.638611036099576,20.638611036099576,-39.77569392779378,True,-21.914552807581387,38.817982005248055,231.17683615631904,291.9093709691485,True
Chronos2-ZS,2026-04-19,250.82,183.48378283518832,197.42721065436925,76.88292599234484,377.1606139028359,576,576,100.0,-53.392789345630746,53.392789345630746,-67.33621716481167,True,-21.914552807581387,38.817982005248055,175.51265784678787,236.24519265961732,False
Chronos2-ZS,2026-04-20,291.72,272.03241696144687,299.6975984923627,119.83283033098704,531.3355103601257,576,576,100.0,7.977598492362688,7.977598492362688,-19.687583038553157,True,-21.914552807581387,38.817982005248055,277.7830456847813,338.51558049761076,True
Chronos2-ZS,2026-04-21,292.29,267.5693795136176,295.5305001148877,127.23892875270616,556.0186830589049,576,576,100.0,3.240500114887652,3.240500114887652,-24.720620486382415,True,-21.914552807581387,38.817982005248055,273.61594730730627,334.3484821201357,True
Chronos2-ZS,2026-04-22,252.56,259.2403455413878,286.02787851213554,121.62659092811171,525.4271766245073,576,576,100.0,33.46787851213554,33.46787851213554,6.680345541387794,True,-21.914552807581387,38.817982005248055,264.11332570455414,324.8458605173836,False
NPTS,2026-03-09,295.22,249.19,261.44206883818293,55.22912717167715,516.8222677218013,576,576,100.0,-33.777931161817094,33.777931161817094,-46.03000000000003,True,-44.972323550080475,42.486681134728755,216.46974528810244,303.9287499729117,True
NPTS,2026-03-10,311.78,251.02,263.362637076611,54.05093720220557,512.4907410160117,576,576,100.0,-48.417362923388964,48.417362923388964,-60.75999999999996,True,-44.972323550080475,42.486681134728755,218.39031352653052,305.8493182113398,False
NPTS,2026-03-11,271.15,253.82,266.51515972280663,57.16848520740515,518.6298783510288,576,576,100.0,-4.634840277193348,4.634840277193348,-17.329999999999984,True,-44.972323550080475,42.486681134728755,221.54283617272614,309.0018408575354,True
NPTS,2026-03-12,274.74,251.89,264.9503992492982,55.48226306388119,498.0011044044851,576,576,100.0,-9.789600750701823,9.789600750701823,-22.850000000000023,True,-44.972323550080475,42.486681134728755,219.9780756992177,307.43708038402696,True
NPTS,2026-03-13,274.22,252.7,265.6052672678264,57.28719205555,507.0253048756252,576,576,100.0,-8.61473273217365,8.61473273217365,-21.52000000000004,True,-44.972323550080475,42.486681134728755,220.6329437177459,308.09194840255515,True
NPTS,2026-03-14,221.49,255.89000000000001,269.3012065094114,60.461685076857215,504.5809759436707,565,576,98.09027777777777,47.81120650941136,47.81120650941136,34.400000000000006,True,-44.972323550080475,42.486681134728755,224.32888295933088,311.78788764414014,False
NPTS,2026-03-15,190.99,253.97,267.30294090991725,56.32608941419159,505.7936587715061,571,576,99.13194444444444,76.31294090991724,76.31294090991724,62.97999999999999,True,-44.972323550080475,42.486681134728755,222.33061735983676,309.789622044646,False
NPTS,2026-03-16,203.68,174.37,184.9575826577677,35.2176327368652,352.88923946625,382,576,66.31944444444444,-18.72241734223232,18.72241734223232,-29.310000000000002,True,-44.972323550080475,42.486681134728755,139.98525910768723,227.44426379249643,True
NPTS,2026-03-17,280.51,250.76,263.5230613964987,53.591501305748686,502.60438614334356,576,576,100.0,-16.9869386035013,16.9869386035013,-29.75,True,-44.972323550080475,42.486681134728755,218.5507378464182,306.00974253122746,True
NPTS,2026-03-18,260.75,250.3,263.3635669369119,58.084418354575405,482.9301818972093,576,576,100.0,2.6135669369119228,2.6135669369119228,-10.449999999999989,True,-44.972323550080475,42.486681134728755,218.39124338683143,305.8502480716407,True
NPTS,2026-03-19,182.49,252.17,265.89268067820115,58.94709878651349,484.0692414609677,576,576,100.0,83.40268067820114,83.40268067820114,69.67999999999998,True,-44.972323550080475,42.486681134728755,220.92035712812066,308.3793618129299,False
