model,horizon,tank,n,mae,mase,mean_actual,trust,horizon_label
Chronos2-COV-XL,6,GJBC_BLOCK_1_A4_RO,142,0.0060882495988150535,0.10209099593163737,0.006056338028169014,degraded,6 h
Chronos2-COV-XL,6,GJBC_BLOCK_2_A1,142,0.11477378090082758,0.5509929213726683,0.42133802816901406,healthy,6 h
Chronos2-COV-XL,6,GJBC_LAW_BLOCK_3_A4_BOYS,142,0.5694727990325068,0.6880121595863388,1.1424647887323942,healthy,6 h
Chronos2-COV-XL,6,GJBC_LAW_BLOCK_3__A1,139,0.26965739221881624,1.1030563459858242,0.5150359712230216,healthy,6 h
Chronos2-COV-XL,6,GJBC_LAW_BLOCK_3__A2,142,0.19054007493274314,0.44697001427651506,0.3630985915492958,healthy,6 h
Chronos2-COV-XL,6,GJBC_LAW_BLOCK_3__A3_GIRLS,142,0.14246653354083988,0.5587618049605055,0.3047887323943662,healthy,6 h
Chronos2-COV-XL,6,G_BLOCK,142,0.3418742034720703,0.6769912741048336,0.9742957746478873,healthy,6 h
Chronos2-COV-XL,6,I&H_BLOCK,142,0.42926443940317127,1.1308960864654132,0.43302816901408453,degraded,6 h
Chronos2-COV-XL,6,INFORMATION_CENTRE,142,0.01438240149438801,1.6629551867217907,0.014084507042253521,dead,6 h
Chronos2-COV-XL,6,IT_BLOCK,142,0.0638526988076702,1.0887967334424038,0.09190140845070423,degraded,6 h
Chronos2-COV-XL,6,ME_WORKSHOP_BLOCK,142,0.025575459637272525,0.1544086673600387,0.03492957746478873,degraded,6 h
Chronos2-COV-XL,6,MM_BLOCK,142,0.2577576828506631,0.5829028723379701,1.0646478873239438,healthy,6 h
Chronos2-COV-XL,6,MRD_BLOCK,142,0.6307027958480405,0.523728268219586,1.3928873239436619,healthy,6 h
Chronos2-COV-XL,6,NBX,142,0.3472264753764784,0.8184888273423415,0.7847887323943662,healthy,6 h
Chronos2-COV-XL,6,NEW_BLOCK,142,0.03367449246661764,0.4872514968327401,0.17204225352112676,healthy,6 h
Chronos2-COV-XL,6,NEW_BLOCK_RO,142,0.00035997395931651265,0.17813152992978362,0.00028169014084507044,dead,6 h
Chronos2-COV-XL,6,TECH_PARK,142,0.14233605362579854,0.415365618793572,0.39492957746478874,healthy,6 h
Chronos2-COV-XL,12,BE_BLOCK_OHT,286,0.6743266795898651,0.7111410419902704,1.8353846153846152,healthy,12 h
Chronos2-COV-XL,12,BE_BLOCK_RO,286,0.007086822213018899,0.5374883095916312,0.010944055944055944,dead,12 h
Chronos2-COV-XL,12,CRICKET_GROUND_OHT,286,0.011144965831450858,0.19749906436596057,0.010769230769230769,degraded,12 h
Chronos2-COV-XL,12,F_BLOCK,286,0.3383989944116219,0.5806839992157689,0.6956993006993007,healthy,12 h
Chronos2-COV-XL,12,GJBC_BLOCK_1_A1_BOYS,286,0.0720589783433434,0.5425108985259427,0.1651048951048951,degraded,12 h
Chronos2-COV-XL,12,GJBC_BLOCK_1_A2_GIRLS,286,0.0692850827816483,0.5091029020202615,0.1715034965034965,healthy,12 h
Chronos2-COV-XL,12,GJBC_BLOCK_1_A3,286,0.09655601398198754,0.573066018228513,0.1967132867132867,healthy,12 h
Chronos2-COV-XL,12,GJBC_BLOCK_1_A4_RO,286,0.004851348969012408,0.08139199121673336,0.004825174825174826,degraded,12 h
Chronos2-COV-XL,12,GJBC_BLOCK_2_A1,286,0.11146811834998897,0.5352672604793746,0.40248251748251745,healthy,12 h
Chronos2-COV-XL,12,GJBC_LAW_BLOCK_3_A4_BOYS,286,0.551937178565072,0.6666694840442058,1.1934965034965035,healthy,12 h
Chronos2-COV-XL,12,GJBC_LAW_BLOCK_3__A1,283,0.3497917708407021,1.4242148517114794,0.6009540636042403,healthy,12 h
Chronos2-COV-XL,12,GJBC_LAW_BLOCK_3__A2,286,0.17401729980548777,0.4082289394999362,0.42363636363636364,healthy,12 h
Chronos2-COV-XL,12,GJBC_LAW_BLOCK_3__A3_GIRLS,286,0.14607132005107987,0.5731432299886109,0.31055944055944057,healthy,12 h
Chronos2-COV-XL,12,G_BLOCK,286,0.37591287097730836,0.744667554230098,0.9605244755244755,healthy,12 h
Chronos2-COV-XL,12,I&H_BLOCK,286,0.30599475547358707,0.8090421510363515,0.3064685314685315,degraded,12 h
Chronos2-COV-XL,12,INFORMATION_CENTRE,286,0.016790318254094858,1.9166391353711807,0.01646853146853147,dead,12 h
Chronos2-COV-XL,12,IT_BLOCK,286,0.058251919099553066,0.9944626137161373,0.08947552447552448,degraded,12 h
Chronos2-COV-XL,12,ME_WORKSHOP_BLOCK,286,0.02537474242748914,0.15322622021318663,0.035419580419580425,degraded,12 h
Chronos2-COV-XL,12,MM_BLOCK,286,0.23675346759649424,0.5353114676052585,1.126888111888112,healthy,12 h
Chronos2-COV-XL,12,MRD_BLOCK,286,0.6861826418746602,0.5701087731725965,1.3086013986013987,healthy,12 h
Chronos2-COV-XL,12,NBX,286,0.3375271987164771,0.7968035113922954,0.786923076923077,healthy,12 h
Chronos2-COV-XL,12,NEW_BLOCK,286,0.03458459470134515,0.5006114954532208,0.1729020979020979,healthy,12 h
Chronos2-COV-XL,12,NEW_BLOCK_RO,286,0.0005178573501289829,0.2581035549652192,0.00045454545454545455,dead,12 h
Chronos2-COV-XL,12,TECH_PARK,286,0.1558131087534911,0.45470248197739843,0.3816083916083916,healthy,12 h
Chronos2-COV-XL,24,BE_BLOCK_OHT,564,0.7132452180115043,0.7523060136624594,1.9401241134751774,healthy,1 d
Chronos2-COV-XL,24,BE_BLOCK_RO,564,0.00783223675167624,0.5930019672433475,0.01148936170212766,dead,1 d
Chronos2-COV-XL,24,CRICKET_GROUND_OHT,564,0.008782792392233056,0.155681257850908,0.008421985815602837,degraded,1 d
Chronos2-COV-XL,24,F_BLOCK,564,0.36411269521036893,0.6246019140862644,0.7098226950354609,healthy,1 d
Chronos2-COV-XL,24,GJBC_BLOCK_1_A1_BOYS,564,0.07752087333523636,0.5833916051928555,0.15852836879432625,degraded,1 d
Chronos2-COV-XL,24,GJBC_BLOCK_1_A2_GIRLS,564,0.07401619006555976,0.5436104642235032,0.1647340425531915,healthy,1 d
Chronos2-COV-XL,24,GJBC_BLOCK_1_A3,564,0.09825621023298578,0.5828785150181599,0.1895390070921986,healthy,1 d
Chronos2-COV-XL,24,GJBC_BLOCK_1_A4_RO,564,0.004030817366231577,0.06759273769938817,0.00400709219858156,degraded,1 d
Chronos2-COV-XL,24,GJBC_BLOCK_2_A1,564,0.11824038073526205,0.5674834324340435,0.4049468085106383,healthy,1 d
Chronos2-COV-XL,24,GJBC_LAW_BLOCK_3_A4_BOYS,564,0.5843954079286426,0.7057280740394479,1.280709219858156,healthy,1 d
Chronos2-COV-XL,24,GJBC_LAW_BLOCK_3__A1,561,0.371828896318315,1.506759081618848,0.6260071301247772,healthy,1 d
Chronos2-COV-XL,24,GJBC_LAW_BLOCK_3__A2,564,0.1750035196965468,0.4098476523295437,0.4324468085106383,healthy,1 d
Chronos2-COV-XL,24,GJBC_LAW_BLOCK_3__A3_GIRLS,564,0.14837360788427348,0.5817676057422122,0.3408333333333333,healthy,1 d
Chronos2-COV-XL,24,G_BLOCK,564,0.3485379506552473,0.6907792011292637,1.0315248226950353,healthy,1 d
Chronos2-COV-XL,24,I&H_BLOCK,564,0.31437597121858424,0.8333860744540079,0.314113475177305,degraded,1 d
