model,family,horizon,horizon_label,n_tanks,rows,macro_mae,macro_rmse,macro_mase,macro_rmsse,vw_mae,vw_rmse,coverage,width,neg_p10_pct,volume_bias_pct,rank_mase
DynamicOptimizedTheta,statistical,72,3 d,24,41140,0.29172428125727207,0.5099183558667992,0.9909179209090332,0.6412192101252467,0.5633412064831179,0.9278242292163434,0.9555420515313563,2.2037496646739556,88.21341759844434,-5.418994528522144,10
SeasonalNaive,reference,72,3 d,24,41140,0.324793791116459,0.6465391217980355,1.0627915958197416,0.8116615187208079,0.6403577605201048,1.1669505342531281,0.9334224598930482,2.3504925089304134,86.93728731161886,0.90178243915314,11
Chronos2-COV-XL,foundation,168,7 d,24,96405,0.21806495207486445,0.46104748607418206,0.6628285494027311,0.5636253402944158,0.4444447921081689,0.8433565822695271,0.7751050256729423,0.666970704629866,0.0,-14.097524089413264,1
Chronos2-COV,foundation,168,7 d,24,96405,0.2183436896548316,0.4616841322323319,0.6632232062989839,0.5640761610796643,0.4453182576939346,0.8447929286300844,0.775986722680359,0.6600761308589115,0.0,-14.019467985366992,2
Chronos2-COV-LEAN,foundation,168,7 d,24,96405,0.2183541181062275,0.46229298659364854,0.6640437404718769,0.5647874852655826,0.44487091100441833,0.8455011527484267,0.749483947928012,0.6575392385440215,0.0,-13.638166273537555,3
Chronos2-ZS,foundation,168,7 d,24,96405,0.21985498777080448,0.4634829891878822,0.6652746941366917,0.5647462864391725,0.44842645648053947,0.8465525899716585,0.7428037964835849,0.6323352032182912,0.0,-12.78672138363502,4
NPTS,statistical,168,7 d,24,96405,0.23256038744102758,0.4842744718551207,0.7057384961739203,0.5956817238344313,0.46686387998841117,0.876043583974323,0.8363362896115347,0.6802921010321041,0.0,-8.632712353167507,5
PatchTST-Tuned,trained deep,168,7 d,24,96405,0.26870107779588365,0.5041383152154982,0.8150325553631759,0.6368250321667839,0.534282699025451,0.9160554903239101,0.8298013588506821,0.8759179555182999,66.60650381204294,-17.70128833829204,6
PatchTST,trained deep,168,7 d,24,96405,0.2934078726665526,0.5316611812479852,0.8679178621420783,0.664598098040982,0.5954964257772769,0.9802437246537548,0.8246563974897567,0.9280292829400064,69.99740677350759,-19.80857353121303,7
ETS,statistical,168,7 d,24,96405,0.27662539243844464,0.4818167440953056,0.9799233659895142,0.6073840518701408,0.5356408381785176,0.8825568506154878,0.9225040195010632,1.4564204890768806,75.47326383486333,2.14660713748443,8
DynamicOptimizedTheta,statistical,168,7 d,24,96405,0.2989323085400248,0.5102214786257794,1.014814705943428,0.6417264331408107,0.579412874289518,0.9329897318869609,0.9661324620092319,2.768958189971,91.47450858357969,-4.069049594315276,9
Theta,statistical,168,7 d,24,96405,0.29843774022723185,0.5093742702225919,1.0161512417476553,0.64077413563826,0.5780412308735791,0.9311044081566918,0.9649499507286966,2.7377962937252662,90.91540895181785,-3.9699214858970855,10
SeasonalNaive,reference,168,7 d,24,96405,0.32765258621679605,0.6440618938463764,1.0687578490419327,0.8085297032727574,0.6482492151244708,1.167015230699955,0.9592655982573518,3.2588669803512778,92.42051760800788,1.866636979520197,11
