model,tank,trust,mean_actual,mae,ref_mae,skill
Theta,BE_BLOCK_OHT,healthy,1.9401241134751774,0.874306320206089,1.0221631205673758,0.14465088534911663
Theta,BE_BLOCK_RO,dead,0.01148936170212766,0.010793550972243719,0.011631205673758867,0.07201787372782675
Theta,CRICKET_GROUND_OHT,degraded,0.008421985815602837,0.012104226810069247,0.01620567375886525,0.25308709837209464
Theta,F_BLOCK,healthy,0.7098226950354609,0.5398108533353642,0.6092021276595744,0.11390517395399913
Theta,GJBC_BLOCK_1_A1_BOYS,degraded,0.15852836879432625,0.09329428482228473,0.10400709219858156,0.10300073917885122
Theta,GJBC_BLOCK_1_A2_GIRLS,healthy,0.1647340425531915,0.0886162809618194,0.1023936170212766,0.13455268463262104
Theta,GJBC_BLOCK_1_A3,healthy,0.1895390070921986,0.10392183089210405,0.13134751773049644,0.20880247538948848
Theta,GJBC_BLOCK_1_A4_RO,degraded,0.00400709219858156,0.005135403927862282,0.005602836879432625,0.0834279065460991
Theta,GJBC_BLOCK_2_A1,healthy,0.4049468085106383,0.20848900383172028,0.20960992907801418,0.005347672465824349
Theta,GJBC_LAW_BLOCK_3_A4_BOYS,healthy,1.280709219858156,0.7142079533278192,0.9025886524822695,0.20871157490887127
Theta,GJBC_LAW_BLOCK_3__A1,healthy,0.6260071301247772,0.5223311054322345,0.5237433155080213,0.002696378233327912
Theta,GJBC_LAW_BLOCK_3__A2,healthy,0.4324468085106383,0.24497017389527864,0.2426595744680851,-0.00952197922648823
Theta,GJBC_LAW_BLOCK_3__A3_GIRLS,healthy,0.3408333333333333,0.1769357438217832,0.18388297872340426,0.03778073941292326
Theta,G_BLOCK,healthy,1.0315248226950353,0.4538211650241389,0.5320390070921985,0.1470152395320613
Theta,I&H_BLOCK,degraded,0.314113475177305,0.6048482300264103,0.5689007092198581,-0.06318768850868106
Theta,INFORMATION_CENTRE,dead,0.01730496453900709,0.037532045256200894,0.03664893617021276,-0.024096445307078218
Theta,IT_BLOCK,degraded,0.09443262411347518,0.08042939276939948,0.09551418439716311,0.15793247592460902
Theta,ME_WORKSHOP_BLOCK,degraded,0.037429078014184394,0.0425069308385199,0.0376241134751773,-0.1297789346336109
Theta,MM_BLOCK,healthy,1.1443617021276595,0.2618968701086809,0.32232269503546096,0.18746996676772076
Theta,MRD_BLOCK,healthy,1.388758865248227,0.8459037986506778,1.0859397163120568,0.22103981837643927
Theta,NBX,healthy,0.8031729055258466,0.4394879983458229,0.4968805704099822,0.11550576835154569
Theta,NEW_BLOCK,healthy,0.1748936170212766,0.04362266318278432,0.05079787234042553,0.1412501907472824
Theta,NEW_BLOCK_RO,dead,0.0003900709219858156,0.0006534711027293496,0.0006205673758865249,-0.05302200554100911
Theta,TECH_PARK,healthy,0.40037234042553194,0.3094297500824087,0.3348581560283688,0.07593784260045278
DynamicOptimizedTheta,BE_BLOCK_OHT,healthy,1.9401241134751774,0.8741482485428319,1.0221631205673758,0.14480552961291027
DynamicOptimizedTheta,BE_BLOCK_RO,dead,0.01148936170212766,0.010831467148099789,0.011631205673758867,0.06875800738898175
