base,opponent,opponent_family,horizon,horizon_label,metric,n_origins,base_score,opponent_score,diff,improvement_pct,ci_lo_pct,ci_hi_pct,p_bootstrap,dm_stat,p_dm,significant_95,base_better,origins_won
Chronos2-ZS,Chronos2-COV,foundation,72,3 d,MASE,24,0.6670011520667843,0.6654771540583514,0.0015239980084328735,-0.22900831367972763,-0.8215000766503501,0.34219185403136726,0.4432,0.4177770803509702,0.6799846334970372,False,False,12
Chronos2-ZS,Chronos2-COV,foundation,72,3 d,MAE,24,0.2174327787558811,0.216236525371808,0.0011962533840730837,-0.553215226713519,-1.1392734913890872,0.07767729575456334,0.0836,1.0978168654425269,0.2836449783200472,False,False,7
Chronos2-ZS,Chronos2-COV,foundation,168,7 d,MASE,24,0.6652976708299781,0.6632770461878224,0.002020624642155855,-0.30464263067286484,-0.6798080188421471,0.06399346321523298,0.1074,0.6187891945788001,0.5421359395263852,False,False,10
Chronos2-ZS,Chronos2-COV,foundation,168,7 d,MAE,24,0.2197993179577634,0.21830482803274576,0.0014944899250176231,-0.6845885812445015,-0.9888318205919354,-0.33899297762992253,0.0002,1.5445481300695525,0.13610467905468493,True,False,3
Chronos2-ZS,Chronos2-COV-LEAN,foundation,6,6 h,MASE,24,0.596173475223719,0.5972506730899024,-0.0010771978661834995,0.18035942272121175,-0.891844108801859,1.196441009820129,0.7342,-0.33163534757686275,0.7431675831533651,False,False,15
Chronos2-ZS,Chronos2-COV-LEAN,foundation,6,6 h,MAE,24,0.1958597924489299,0.19556893919728147,0.0002908532516484157,-0.14872159804222057,-1.6678960273975092,1.2204130875519592,0.849,0.19659587532780695,0.8458706156922304,False,False,15
Chronos2-ZS,Chronos2-COV-LEAN,foundation,12,12 h,MASE,24,0.627832870455817,0.6289194574177056,-0.0010865869618884745,0.17277044764204244,-0.9391755671230748,1.198539982681912,0.7114,-0.30804536737947713,0.7608202838926936,False,False,15
Chronos2-ZS,Chronos2-COV-LEAN,foundation,12,12 h,MAE,24,0.20245644476148775,0.20123094472868652,0.0012255000328012782,-0.609001778754049,-2.13998024774494,0.8031393883315995,0.432,0.782362753635427,0.4419822660591568,False,False,12
Chronos2-ZS,Chronos2-COV-LEAN,foundation,24,1 d,MASE,24,0.6563016477223401,0.6576150640658587,-0.0013134163435186118,0.19972418749018742,-0.5885065077551198,0.9478416575689735,0.5968,-0.5743235704966917,0.571323813508795,False,False,11
Chronos2-ZS,Chronos2-COV-LEAN,foundation,24,1 d,MAE,24,0.21110794348326048,0.20991360703845763,0.0011943364448028556,-0.5689657100618756,-1.5582720229703515,0.3192128706185723,0.2326,1.1271259732907133,0.271311407341001,False,False,12
