model,hour,mae,bias,mean_actual
DynamicOptimizedTheta,0,0.1785252778980892,0.029073635910034687,0.3108680555555556
DynamicOptimizedTheta,1,0.1701636702891025,0.016041175795983194,0.28953125
DynamicOptimizedTheta,2,0.16583758924340525,0.01508090409986935,0.27875
DynamicOptimizedTheta,3,0.1549346054485924,0.00776161760439199,0.2494270833333333
DynamicOptimizedTheta,4,0.16206269141378427,0.005496538344439626,0.25277777777777777
DynamicOptimizedTheta,5,0.19267722917509256,0.0038047482575223096,0.28914930555555557
DynamicOptimizedTheta,6,0.20974865552763322,0.007115726284208382,0.36744791666666665
DynamicOptimizedTheta,7,0.27171434975696057,0.011639035265618344,0.5377951388888889
DynamicOptimizedTheta,8,0.36991706165346255,-0.03311729196164765,0.7403645833333333
DynamicOptimizedTheta,9,0.42926264342859527,0.019238306772446468,0.7946527777777779
DynamicOptimizedTheta,10,0.4605288567373822,-0.017530985391042295,0.7628993055555555
DynamicOptimizedTheta,11,0.4474198728819275,0.05268801697829928,0.7039930555555556
DynamicOptimizedTheta,12,0.39429689649175353,0.014738639363170155,0.6284027777777778
DynamicOptimizedTheta,13,0.3825229346825078,-0.008670876305221778,0.6315970961887477
DynamicOptimizedTheta,14,0.4017676776915699,0.07802254028827853,0.6815426497277677
DynamicOptimizedTheta,15,0.4346042481255213,0.10281887055808304,0.6957894736842105
DynamicOptimizedTheta,16,0.3676257559162533,0.08317983849661337,0.6878079710144928
DynamicOptimizedTheta,17,0.3347601864851098,0.10950023805096629,0.6169927536231884
DynamicOptimizedTheta,18,0.19211937744906452,0.010478258352643122,0.41581521739130434
DynamicOptimizedTheta,19,0.23353131478903671,0.012958904838846862,0.38956521739130434
DynamicOptimizedTheta,20,0.21008374337393929,0.013223588037024525,0.34607985480943737
DynamicOptimizedTheta,21,0.19929083215026047,-0.002450692821444689,0.3270235934664247
DynamicOptimizedTheta,22,0.18834884373389682,0.021351088176986905,0.34407969639468694
DynamicOptimizedTheta,23,0.1778352148862055,0.006954151277885465,0.3327355072463768
ETS,0,0.1547848081363813,0.014649854373845368,0.3108680555555556
ETS,1,0.14285169534986303,0.0011216229922030474,0.28953125
ETS,2,0.14847209947939172,0.0016596303209945804,0.27875
ETS,3,0.14395464767903146,-0.008646420449436905,0.2494270833333333
ETS,4,0.1447684653343855,-0.01297138481673213,0.25277777777777777
ETS,5,0.1698980321054281,-0.019339075603057143,0.28914930555555557
ETS,6,0.1915543070561087,-0.0173242924205197,0.36744791666666665
ETS,7,0.2566252311941217,-0.012648519443617464,0.5377951388888889
ETS,8,0.3457801575754943,-0.06143614183497234,0.7403645833333333
ETS,9,0.42298411018701365,-0.013609833153500896,0.7946527777777779
ETS,10,0.4451249935220086,-0.03790840381301626,0.7628993055555555
ETS,11,0.451213359952926,0.026553968025642288,0.7039930555555556
ETS,12,0.3884664995088596,-0.01265275768136703,0.6284027777777778
ETS,13,0.3843389129649548,-0.04377697416058684,0.6315970961887477
ETS,14,0.4044405101220553,0.03486580806116279,0.6815426497277677
ETS,15,0.4445672114982671,0.05376844843230494,0.6957894736842105
ETS,16,0.3832151234288669,0.027738072124898698,0.6878079710144928
ETS,17,0.3235007135052605,0.061074985545439324,0.6169927536231884
ETS,18,0.1770640277122005,-0.008531857505296203,0.41581521739130434
ETS,19,0.22083961706477997,-0.009584357333345098,0.38956521739130434
ETS,20,0.18708066369331425,-0.0032495246417914986,0.34607985480943737
ETS,21,0.17204280733637775,-0.021353146382869646,0.3270235934664247
ETS,22,0.17668321998672676,-0.00747679420005421,0.34407969639468694
ETS,23,0.16156556595616242,-0.013525906078984224,0.3327355072463768
NPTS,0,0.11953125000000002,0.06505208333333333,0.3108680555555556
NPTS,1,0.10689236111111111,0.05564236111111111,0.28953125
NPTS,2,0.11,0.05579861111111111,0.27875
NPTS,3,0.09815972222222222,0.043229166666666666,0.2494270833333333
NPTS,4,0.10015625,0.036614583333333325,0.25277777777777777
